Name,Market Cap
GLW,32632514560
AME,32578054144
ETN,69068021760
EMR,56713625600
ROK,40019865600
LNT,13819959296
AEP,41389297664
ED,27789000704
D,60642545664
DUK,75667881984
EIX,24511694848
ETR,21162768384
EVRG,14918468608
FE,20999981056
PPL,21751728128
PEG,31517802496
SO,65243369472
WEC,28430155776
WBA,41335320576
CTAS,46515367936
CPRT,36849389568
EMN,15501402112
BAC,396930908160
C,138719723520
CMA,12468836352
JPM,493568655360
USB,87799046144
WFC,206641889280
LKQ,17857654784
BF-B,34058932224
STZ,45679644672
M,11654506496
JWN,5559876608
ADS,3759601408
BR,20089798656
FIS,67817304064
FISV,67510362112
FLT,18944530432
GPN,37448151040
JKHY,11261374464
MA,345102385152
PAYX,45228785664
PYPL,235533369344
V,447401230336
WU,6895896576
FCX,56847908864
AXP,141550026752
COF,69073305600
DFS,35385909248
SYF,28120309760
GRMN,27772635136
MLM,26206832640
VMC,26345940992
CAT,110335254528
PCAR,30195630080
WAB,17873541120
J,19170252800
PWR,16590534656
BBY,33966643200
ANET,10116454400
CSCO,226007547904
FFIV,14273989632
JNPR,10612221952
MSI,43647094784
DOW,43310419968
LVS,29450850304
MGM,21745461248
WYNN,10532052992
CHTR,129402241024
CMCSA,242486624256
DISH,18105559040
ALLE,12140743680
AOS,13207133184
FAST,35099688960
FBHS,14893467648
JCI,57580879872
MAS,17194002432
DISCA,12628575232
DISCK,13755943936
TAP,10097677312
AMGN,117220507648
BIIB,38661021696
GILD,85020860416
INCY,14323585024
REGN,69094850560
VRTX,47996346368
AAP,15176589312
F,78076477440
GM,90420256768
APTV,47671808000
BWA,11222488064
AMP,35138920448
BK,50576539648
BLK,140746424320
BEN,17598167040
IVZ,11324008448
NTRS,25268195328
STT,33121423360
TROW,47632953344
ADBE,320718897152
ANSS,34740371456
ADSK,70883786752
CDNS,51771203584
CTXS,10520670208
INTU,171863523328
NLOK,14371038208
ORCL,264290729984
CRM,279427383296
SNPS,53720133632
CPRI,9747100672
HBI,6050163200
NKE,270727872512
PVH,8655217664
RL,9250055168
TPR,12782850048
UAA,11465398272
UA,11059942400
VFC,29968150528
GPS,9364529152
ROST,42683101184
TJX,88194416640
ALK,6538182656
AAL,12436415488
DAL,25662636032
LUV,27422152704
UAL,15347303424
CHRW,12488997888
EXPD,21534654464
FDX,64934494208
UPS,181831057408
ADM,37203963904
DE,111397609472
ARNC,3469056768
BA,132898070528
GD,56680468480
HII,7450619904
LHX,45096480768
LMT,95075663872
NOC,56564912128
TXT,16984601600
TDG,36262268928
IPG,13650147328
OMC,14563133440
